metric_name,normalized_name,canonical_name,occurrences,deck_count,decks,units,categories,looks_metric_like,name_length,token_count,sample_context
CPE,cpe,CPE,82,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,currency; percent,cost,true,3,1,Carousel Static vs Carousel Companion [TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mi
CPA,cpa,CPA,80,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count; currency; percent,cost,true,3,1,Duration per Session CPA $17.8 Total Installs: 699K
Install Lift,install lift,Install Lift,38,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,percent,performance,true,12,2,Install Lift Acolyte Roadblocks: Install & Launch Lifts +79%
CTR,ctr,CTR,26,4,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,percent,other,true,3,1,Carousel Static vs Carousel Companion [TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mi
Launch Rate,launch rate,Launch Rate,24,4,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,currency; percent; ratio,performance,true,11,2,Carousel Static vs Carousel Companion [TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mi
Cost per Acquired User (CPA): Cost to acquire a net new user,cost per acquired user cpa cost to acquire a net new user,Cost per Acquired User (CPA): Cost to acquire a net new user,22,4,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,count; currency,cost,true,60,10,Cost per Acquired User (CPA): Cost to acquire a net new user FY24 H2 CPA - Not Installed ROS 74K Acquired User: any user that installs and launches Disney+ for a +30 minute session within 7 day attribution window
Impressions,impressions,Impressions,22,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,reach,false,11,1,"Cost per Acquired User (CPA): Cost to acquire a net new user Impressions 119M Disney+ invested $1.3M towards Not Installed native ROS lines, acquiring 74K new users across EMEA markets in 2H’24 at a $17.80 CPA"
Installs,installs,Installs,20,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count; percent,performance,false,8,1,Cost per Acquired User (CPA): Cost to acquire a net new user Installs 682K Acquired User: any user that installs and launches Disney+ for a +30 minute session within 7 day attribution window
Investment,investment,Investment,19,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,currency,cost,false,10,1,Duration per Session Investment: $2.25M Total Installs: 699K
Launches,launches,Launches,19,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,performance,false,8,1,FY24 H2 CPE - Lapsed ROS Launches 2.9M Engaged User: any user that launches Disney+ for 2 or more +30 minute session within 7 day attribution window
