cluster_id,alias_name,canonical_name,similarity,occurrences,decks,units,action
5,% Not Installed→,Not Installed,1.0000,4,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,auto_fix
6,Avg. Duration,Avg Duration,1.0000,3,Disney+ EMEA  FY24 H2,time,auto_fix
1,% Investment→,Investment,1.0000,2,Disney+ EMEA  FY25 H2,percent,auto_fix
3,Of total launches,Of Total Launches,1.0000,2,Disney+ EMEA FY25 H1,percent,auto_fix
4,% Lapsed→,Lapsed,1.0000,1,Disney+ EMEA FY25 H1,percent,auto_fix
7,Avg. Monthly Frequency,Avg Monthly Frequency,1.0000,1,Disney+ EMEA  FY24 H2,ratio,auto_fix
10,Deduplicated Reach vs,Deduplicated Reach,0.9277,1,Disney+ EMEA  FY24 H2,percent,auto_fix
12,Disney+ Global FY25 Investment,Disney+ Global FY25 H1 Investment,0.9451,1,Disney+ EMEA  FY25 H2,currency,auto_fix
1,Investment→,Investment,1.0000,1,Disney+ US FY25 H1,currency,auto_fix
15,More efficient CPA,More Efficient CPA vs,0.9326,1,Disney+ EMEA  FY24 H2,percent,auto_fix
3,of Total Launches,Of Total Launches,1.0000,1,Disney+ EMEA  FY24 H2,percent,auto_fix
17,of Total Streaming Hours,Of Total Streaming Hours,1.0000,1,Disney+ EMEA  FY24 H2,percent,auto_fix
13,EMEA Disney+ Active User Growth,EMEA Active User Growth,0.9034,5,Disney+ EMEA  FY25 H2,count,review
18,"Unique Devices were exposed to Roadblocks, including overlap with ROS","Unique Devices were exposed to ROS, including overlap with RB",0.9482,4,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,review
8,Content Store Roadblock: Spotlight,Content Store Roadblock,0.8701,1,Disney+ EMEA FY25 H1,count,review
9,D+ App Penetration MAUs,D+ App Penetration,0.8699,1,Disney+ EMEA FY25 H1,count,review
11,Deduplicated Reach Against Other TV OEMs,Deduplicated Reach vs. Other TV OEMS,0.9019,1,Disney+ EMEA  FY24 H2,percent,review
14,Global LG Smart TVs,Global Smart TVs,0.8862,1,Disney+ EMEA  FY24 H2,count,review
16,More efficient CPE vs Static,More efficient CPA vs Static,0.9504,1,Disney+ EMEA  FY24 H2,percent,review
2,Of Acquired Users,Total Acquired Users,0.7140,1,Disney+ EMEA  FY24 H2,percent,review
2,Of Total Acquired Users,Total Acquired Users,0.8630,1,Disney+ US FY24 H2,percent,review
