cluster_id,canonical_name,member_name,member_occurrences,similarity_to_canonical,decks,units,action
1,Investment,% Investment→,2,1.0000,Disney+ EMEA  FY25 H2,percent,auto_fix
1,Investment,Investment,19,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,currency,keep
1,Investment,Investment→,1,1.0000,Disney+ US FY25 H1,currency,auto_fix
2,Total Acquired Users,Of Acquired Users,1,0.7140,Disney+ EMEA  FY24 H2,percent,review
2,Total Acquired Users,Of Total Acquired Users,1,0.8630,Disney+ US FY24 H2,percent,review
2,Total Acquired Users,Total Acquired Users,2,1.0000,Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
3,Of Total Launches,Of Total Launches,2,1.0000,Disney+ EMEA  FY24 H2,percent,keep
3,Of Total Launches,Of total launches,2,1.0000,Disney+ EMEA FY25 H1,percent,auto_fix
3,Of Total Launches,of Total Launches,1,1.0000,Disney+ EMEA  FY24 H2,percent,auto_fix
4,Lapsed,% Lapsed→,1,1.0000,Disney+ EMEA FY25 H1,percent,auto_fix
4,Lapsed,Lapsed,5,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
5,Not Installed,% Not Installed→,4,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,auto_fix
5,Not Installed,Not Installed,5,1.0000,Disney+ EMEA  FY24 H2,percent,keep
6,Avg Duration,Avg Duration,6,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; time,keep
6,Avg Duration,Avg. Duration,3,1.0000,Disney+ EMEA  FY24 H2,time,auto_fix
7,Avg Monthly Frequency,Avg Monthly Frequency,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
7,Avg Monthly Frequency,Avg. Monthly Frequency,1,1.0000,Disney+ EMEA  FY24 H2,ratio,auto_fix
8,Content Store Roadblock,Content Store Roadblock,2,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count; percent,keep
8,Content Store Roadblock,Content Store Roadblock: Spotlight,1,0.8701,Disney+ EMEA FY25 H1,count,review
9,D+ App Penetration,D+ App Penetration,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,keep
9,D+ App Penetration,D+ App Penetration MAUs,1,0.8699,Disney+ EMEA FY25 H1,count,review
10,Deduplicated Reach,Deduplicated Reach,2,1.0000,Disney+ US FY24 H2,percent,keep
10,Deduplicated Reach,Deduplicated Reach vs,1,0.9277,Disney+ EMEA  FY24 H2,percent,auto_fix
11,Deduplicated Reach vs. Other TV OEMS,Deduplicated Reach Against Other TV OEMs,1,0.9019,Disney+ EMEA  FY24 H2,percent,review
11,Deduplicated Reach vs. Other TV OEMS,Deduplicated Reach vs. Other TV OEMS,5,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; percent,keep
12,Disney+ Global FY25 H1 Investment,Disney+ Global FY25 H1 Investment,2,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,currency,keep
12,Disney+ Global FY25 H1 Investment,Disney+ Global FY25 Investment,1,0.9451,Disney+ EMEA  FY25 H2,currency,auto_fix
13,EMEA Active User Growth,EMEA Active User Growth,16,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA FY25 H1,count,keep
13,EMEA Active User Growth,EMEA Disney+ Active User Growth,5,0.9034,Disney+ EMEA  FY25 H2,count,review
14,Global Smart TVs,Global LG Smart TVs,1,0.8862,Disney+ EMEA  FY24 H2,count,review
14,Global Smart TVs,Global Smart TVs,4,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,keep
15,More Efficient CPA vs,More efficient CPA,1,0.9326,Disney+ EMEA  FY24 H2,percent,auto_fix
15,More Efficient CPA vs,More Efficient CPA vs,4,1.0000,Disney+ EMEA FY25 H1,percent; ratio,keep
16,More efficient CPA vs Static,More efficient CPA vs Static,1,1.0000,Disney+ EMEA  FY24 H2,percent,keep
16,More efficient CPA vs Static,More efficient CPE vs Static,1,0.9504,Disney+ EMEA  FY24 H2,percent,review
17,Of Total Streaming Hours,Of Total Streaming Hours,2,1.0000,Disney+ EMEA  FY24 H2,percent,keep
17,Of Total Streaming Hours,of Total Streaming Hours,1,1.0000,Disney+ EMEA  FY24 H2,percent,auto_fix
18,"Unique Devices were exposed to ROS, including overlap with RB","Unique Devices were exposed to Roadblocks, including overlap with ROS",4,0.9482,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,review
18,"Unique Devices were exposed to ROS, including overlap with RB","Unique Devices were exposed to ROS, including overlap with RB",4,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,keep
19,# of Roadblocks,# of Roadblocks,2,1.0000,Disney+ US FY25 H1,ratio,keep
20,% Attributed Installs of Overall Installs →,% Attributed Installs of Overall Installs →,4,1.0000,Disney+ US FY24 H2,currency,keep
21,(NEW) 3D Animated Carousel,(NEW) 3D Animated Carousel,1,1.0000,Disney+ US FY24 H2,count,keep
22,*Untargeted RB,*Untargeted RB,2,1.0000,Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
23,+1 ppt HoH,+1 ppt HoH,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
24,+2 ppt HoH,+2 ppt HoH,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
25,2025 Sept Offer,2025 Sept Offer,2,1.0000,Disney+ EMEA  FY25 H2,count,keep
26,3D,3D,5,1.0000,Disney+ EMEA  FY25 H2; Disney+ US FY24 H2,count; currency; percent; ratio,keep
27,3D Animated,3D Animated,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
28,3D VS Video Companion,3D VS Video Companion,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
29,6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall,6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall,1,1.0000,Disney+ EMEA  FY24 H2,ratio,keep
30,APAC,APAC,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
31,Acquired User,Acquired User,4,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
32,Acquired User = any user that installs and launches Disney+ for a +30 minute session. Source,Acquired User = any user that installs and launches Disney+ for a +30 minute session. Source,1,1.0000,Disney+ US FY24 H2,count,keep
33,Acquired Users,Acquired Users,3,1.0000,Disney+ US FY24 H2,count; percent,keep
34,Acquired UsersH2’24,Acquired UsersH2’24,1,1.0000,Disney+ US FY25 H1,count,keep
35,Acquired UsersH2’24: 40.2K,Acquired UsersH2’24: 40.2K,1,1.0000,Disney+ US FY25 H1,percent,keep
36,Acquisitions,Acquisitions,1,1.0000,Disney+ EMEA FY25 H1,count,keep
37,"Across H2, 13 markets deployed the Carousel Companion unit with 16","Across H2, 13 markets deployed the Carousel Companion unit with 16",1,1.0000,Disney+ EMEA  FY25 H2,count,keep
