candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
n/a february,12,2,currency:12,$1 | $133,"Notes: October: N/A November: $457,875 December: $1,164,250 January: N/A February: $133,245 March: $1","7,875 December: $1,164,250 January: N/A February: $133,245 March: $1,720,344 While Disney+ Monthly Activ","$1,164,250 January: N/A February: $133,245 March: $1,720,344 While Disney+ Monthly Active Users are gr",Disney+ US FY25 H1/04_metrics_extracted.json#slide-24 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-31 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-24
germany,9,3,percentage:5; currency:4,$110.42 | $240.63 | +10%,d Sweden during 1H’24. ### Notes: CPA: Overall = $110.42 Germany = $240.63 Denmark = $117.15 UK = $76.92 S,’24. ### Notes: CPA: Overall = $110.42 Germany = $240.63 Denmark = $117.15 UK = $76.92 Sweden = $184.63,- Czech: 232K +11% - Spain: 1.4M +10% - Italy: 1.0M +10% - Germany: 1.1M,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46
italy,8,3,percentage:6; currency:2,+4% | +10% | $18.99,+10% - Spain: 1.2M +8% - Hungary: 259K +4% - UK: 262K +4% - Italy: 1.2M +3% -,+8% - Hungary: 259K +4% - UK: 262K +4% - Italy: 1.2M +3% - - - - - - - - -,- Czech: 232K +11% - Spain: 1.4M +10% - Italy: 1.0M +10% - Germany: 1.1M,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-19 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46
march,8,2,currency:8,$1,"Notes: October: N/A November: $457,875 December: $1,164,250 January: N/A February: $133,245 March: $1","$1,164,250 January: N/A February: $133,245 March: $1,720,344 While Disney+ Monthly Active Users are gr","blocks October: N/A November: $457,875 December: $1,164,250 January: N/A February: $133,245 March: $1",Disney+ US FY25 H1/04_metrics_extracted.json#slide-24 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-31 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-24
cost to acquire a net new user,7,4,currency:7,$17.80 | $110.43 | $20.36,ired User (CPA): Cost to acquire a net new user - $17.80 - Qualified Acquisitions - - Source: LG Ad Solut,d User (CPA): Cost to acquire a net new user - - $110.43 - 2.1K - Qualified Acquisitions - Any user that i,d User (CPA): Cost to acquire a net new user - - $20.36 - 76K - Qualified Acquisitions - Any user that in,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-26 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-53 | Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-54
sweden,7,3,currency:4; percentage:3,$76.92 | $184.63 | 34%,$110.42 Germany = $240.63 Denmark = $117.15 UK = $76.92 Sweden = $184.63,= $240.63 Denmark = $117.15 UK = $76.92 Sweden = $184.63,: 27.37 / 30% Turkey: 50.49 / 41% Poland: 25.18 / 34% Sweden: $19.28,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26
spain,7,3,percentage:5; currency:2,+10% | +11% | 29%,ept ‘24) - Greece: 133K +11% - Turkey: 262K +10% - Spain: 1.2M +8% - Hungary: 259K +4% -,Greece: 201K +18% - Czech: 232K +11% - Spain: 1.4M +10% - Italy: 1.0M +1,1H for reference: Italy: $18.99; France: $16.36; 29% Spain: $12.02; 25% Germany: $19.69; 39% UK: $11.0,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-19 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46
of total lg footprint,7,2,percentage:7,80%,"●It’s available on 2019 to 2024 LG TVs, making up 80% of total LG footprint ●It’s Video Enabled: Up to",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-12 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-6 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-62
making up,7,2,percentage:7,80%,"●It’s available on 2019 to 2024 LG TVs, making up 80% of total LG footprint ●It’s Video Enabled: Up to",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-12 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-6 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-62
greece,7,2,percentage:6; currency:1,+27% | 26% | 69%,pril 25 - September 25) - Turkey: 460K +27% - Greece: 201K +18% - Czech: 232K,t installed Denmark: 36.03 / 21% Finland: 40.60 / 26% Greece: 33.49 / 38% Hungary: 27.37 / 30% Turkey:,y: 8.93 / 65% Denmark: 6.14 / 62% Finland: 5.14 / 69% Greece: $6.00 / 70% Hungary: 5.18 / 60% Sweden:,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-14
