candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
impressions,21,5,count:21,119M | 66.7M | 139M,Impressions 119M,Impressions 66.7M,Impressions 139M,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-26 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-30 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-53
investment,19,5,currency:19,$2.25M | $110K | $2.8M,Investment: $2.25M,"Disney+ owned the LG Living Room as viewers decided what to watch across the blockbuster release of The Acolyte in June. The 100% SOV Home Screen Roadblocks are instrumental in blocking out the competition during key primetime hours, increasing reach, and driving strong engagement. UK June Roadblock Details: June 9th & 16th - 6pm - Midnight on Sundays Creative: Carousel Companion with Video Investment: $110K 2019+ Model Year Targeting Nearly $10K Added Value due to overdelivery",Investment $2.8M,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-37 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10
launches,16,5,count:16,2.9M | 9.4M | 4.4M,Launches 2.9M,Launches 9.4M,Launches 4.4M,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-30 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-56 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-57
installs,16,5,count:16,682K | 699K | 15.42K,Installs 682K,Installs 699K,Installs 15.42K,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-26 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-53 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-54
launch rate,14,4,percentage:14,2.32% | 2.55% | 18.6%,[TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mins | 69 Mins | +14 mins CPA | $19.97 | $9.97 | -50% CPE | $6.89 | $1.17 | -83%,[TABLE] | Rotational | Roadblocks Install Rate* | 0.60% | 0.08% CPA | $14.06 | $110.42 CTR | 0.11% | 0.14% Launch Rate | 2.55% | 22.56% Avg. Mins/Launch | 60.05 Mins | 72.25 Mins CPE | $6.21 | $0.56,Launch Rate 18.6%,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-34 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-69 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-50
avg duration,7,4,time:7,56 Mins | 58 mins | 70 Mins,[TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mins | 69 Mins | +14 mins CPA | $19.97 | $9.97 | -50% CPE | $6.89 | $1.17 | -83%,Avg Duration 58 mins,Avg Duration 70 Mins,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-34 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-50 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-55
total launches,6,5,count:6,9.4M | 21M | 21.2M,Total Launches: 9.4M,Total Launches 21M,Total Launches 21.2M,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-62
reach,6,3,count:6,4.9M | 17.3M | 15M,Reach 4.9M,Reach 17.3M,Reach 15M,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-57 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-62 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-11
total installs,4,4,count:4,699K | 876K | 263.5K,Total Installs: 699K,Total Installs 876K,Total Installs: 263.5K,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-11 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-15
install rate,4,2,percentage:4,0.52% | 0.60% | 0.38%,[TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mins | 69 Mins | +14 mins CPA | $19.97 | $9.97 | -50% CPE | $6.89 | $1.17 | -83%,[TABLE] | Rotational | Roadblocks Install Rate* | 0.60% | 0.08% CPA | $14.06 | $110.42 CTR | 0.11% | 0.14% Launch Rate | 2.55% | 22.56% Avg. Mins/Launch | 60.05 Mins | 72.25 Mins CPE | $6.21 | $0.56,Install Rate 0.38%,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-34 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-69 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-39
unique reach,3,3,count:3,11.6M | 17M | 11.8M,Unique Reach 11.6M,Unique Reach 17M,Unique Reach 11.8M,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-15
frequency,3,3,ratio:2; count:1,6.13x | 15x | 3.76,Frequency 6.13x,Frequency 15x,Frequency 3.76,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-62 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-11 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-53
engaged users,3,3,count:3,608K | 397K | 144.5K,Engaged Users 608K,Engaged Users 397K,Engaged Users 144.5K,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-57 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-47 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-7
